| taskId        | 21988                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.28 YS 30w 健康.txt          |
| areaSumCount  | 8151                           |
| Area          | Count                          |
|---------------|--------------------------------|
| 河南            | 1631                           |
| 辽宁            | 1575                           |
| 湖南            | 1525                           |
| 湖北            | 912                            |
| 江苏            | 822                            |
| 北京            | 567                            |
| 新疆            | 438                            |
| 成都            | 300                            |
| 邯郸            | 223                            |
| 上海            | 152                            |
| 西藏            | 6                              |
| 内蒙            | 0                              |


| taskId        | 21987                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.29 YS 30w 健康.txt          |
| areaSumCount  | 9334                           |
| Area          | Count                          |
|---------------|--------------------------------|
| 河南            | 2068                           |
| 辽宁            | 1704                           |
| 湖南            | 1568                           |
| 江苏            | 1146                           |
| 湖北            | 1054                           |
| 北京            | 502                            |
| 成都            | 402                            |
| 新疆            | 393                            |
| 邯郸            | 289                            |
| 上海            | 202                            |
| 西藏            | 6                              |
| 内蒙            | 0                              |


| taskId        | 21896                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.27 YS 30w 健康.txt          |
| areaSumCount  | 19166                          |
| Area          | Count                          |
|---------------|--------------------------------|
| 江苏            | 4420                           |
| 湖南            | 2733                           |
| 河南            | 2529                           |
| 湖北            | 2473                           |
| 辽宁            | 2214                           |
| 上海            | 2189                           |
| 成都            | 1597                           |
| 邯郸            | 396                            |
| 北京            | 328                            |
| 新疆            | 283                            |
| 西藏            | 4                              |
| 内蒙            | 0                              |


| taskId        | 21836                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.25 YS 30w 健康.txt          |
| areaSumCount  | 48125                          |
| Area          | Count                          |
|---------------|--------------------------------|
| 江苏            | 10498                          |
| 河南            | 8893                           |
| 辽宁            | 7553                           |
| 湖北            | 6390                           |
| 湖南            | 6236                           |
| 上海            | 3942                           |
| 成都            | 3737                           |
| 邯郸            | 705                            |
| 新疆            | 110                            |
| 北京            | 53                             |
| 西藏            | 8                              |
| 内蒙            | 0                              |


| taskId        | 21809                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.24 YS 30w 卡卡.txt          |
| areaSumCount  | 60626                          |
| Area          | Count                          |
|---------------|--------------------------------|
| 江苏            | 11444                          |
| 辽宁            | 11369                          |
| 河南            | 10862                          |
| 湖北            | 9423                           |
| 湖南            | 5350                           |
| 上海            | 5155                           |
| 成都            | 4551                           |
| 邯郸            | 1503                           |
| 北京            | 942                            |
| 新疆            | 26                             |
| 西藏            | 1                              |
| 内蒙            | 0                              |


| taskId        | 21761                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.23 YS 27w 健康.txt          |
| areaSumCount  | 5                              |
| Area          | Count                          |
|---------------|--------------------------------|
| 成都            | 5                              |
| 西藏            | 0                              |
| 上海            | 0                              |
| 辽宁            | 0                              |
| 河南            | 0                              |
| 新疆            | 0                              |
| 邯郸            | 0                              |
| 湖南            | 0                              |
| 湖北            | 0                              |
| 江苏            | 0                              |
| 内蒙            | 0                              |
| 北京            | 0                              |


| taskId        | 21712                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.22 YS 30w 健康.txt          |
| areaSumCount  | 21                             |
| Area          | Count                          |
|---------------|--------------------------------|
| 成都            | 20                             |
| 北京            | 1                              |
| 西藏            | 0                              |
| 上海            | 0                              |
| 辽宁            | 0                              |
| 河南            | 0                              |
| 新疆            | 0                              |
| 邯郸            | 0                              |
| 湖南            | 0                              |
| 湖北            | 0                              |
| 江苏            | 0                              |
| 内蒙            | 0                              |


| taskId        | 21711                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.21 YS 20w 健康.txt          |
| areaSumCount  | 0                              |
| Area          | Count                          |
|---------------|--------------------------------|
| 西藏            | 0                              |
| 成都            | 0                              |
| 上海            | 0                              |
| 辽宁            | 0                              |
| 河南            | 0                              |
| 新疆            | 0                              |
| 邯郸            | 0                              |
| 湖南            | 0                              |
| 湖北            | 0                              |
| 江苏            | 0                              |
| 内蒙            | 0                              |
| 北京            | 0                              |


| taskId        | 21669                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.19 YS 20w健康.txt           |
| areaSumCount  | 0                              |
| Area          | Count                          |
|---------------|--------------------------------|
| 西藏            | 0                              |
| 成都            | 0                              |
| 上海            | 0                              |
| 辽宁            | 0                              |
| 河南            | 0                              |
| 新疆            | 0                              |
| 邯郸            | 0                              |
| 湖南            | 0                              |
| 湖北            | 0                              |
| 江苏            | 0                              |
| 内蒙            | 0                              |
| 北京            | 0                              |


| taskId        | 21667                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.18 YS 20w 健康.txt          |
| areaSumCount  | 5                              |
| Area          | Count                          |
|---------------|--------------------------------|
| 成都            | 5                              |
| 西藏            | 0                              |
| 上海            | 0                              |
| 辽宁            | 0                              |
| 河南            | 0                              |
| 新疆            | 0                              |
| 邯郸            | 0                              |
| 湖南            | 0                              |
| 湖北            | 0                              |
| 江苏            | 0                              |
| 内蒙            | 0                              |
| 北京            | 0                              |


| taskId        | 21612                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.17 YS20w 健康.txt           |
| areaSumCount  | 44                             |
| Area          | Count                          |
|---------------|--------------------------------|
| 成都            | 43                             |
| 上海            | 1                              |
| 西藏            | 0                              |
| 辽宁            | 0                              |
| 河南            | 0                              |
| 新疆            | 0                              |
| 邯郸            | 0                              |
| 湖南            | 0                              |
| 湖北            | 0                              |
| 江苏            | 0                              |
| 内蒙            | 0                              |
| 北京            | 0                              |


| taskId        | 21584                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.12 YS-M10-2 1.3.xlsx      |
| areaSumCount  | 263                            |
| Area          | Count                          |
|---------------|--------------------------------|
| 邯郸            | 226                            |
| 成都            | 36                             |
| 北京            | 1                              |
| 西藏            | 0                              |
| 上海            | 0                              |
| 辽宁            | 0                              |
| 河南            | 0                              |
| 新疆            | 0                              |
| 湖南            | 0                              |
| 湖北            | 0                              |
| 江苏            | 0                              |
| 内蒙            | 0                              |


| taskId        | 21581                          |
|---------------|--------------------------------|
| taskName      | 卡卡-1.3.xlsx                    |
| areaSumCount  | 5986                           |
| Area          | Count                          |
|---------------|--------------------------------|
| 江苏            | 1199                           |
| 湖北            | 1112                           |
| 河南            | 910                            |
| 辽宁            | 682                            |
| 湖南            | 612                            |
| 上海            | 475                            |
| 成都            | 445                            |
| 北京            | 440                            |
| 邯郸            | 111                            |
| 西藏            | 0                              |
| 新疆            | 0                              |
| 内蒙            | 0                              |


| taskId        | 21580                          |
|---------------|--------------------------------|
| taskName      | 卡卡-1.2.xlsx                    |
| areaSumCount  | 8193                           |
| Area          | Count                          |
|---------------|--------------------------------|
| 北京            | 1637                           |
| 河南            | 1553                           |
| 辽宁            | 1194                           |
| 湖南            | 866                            |
| 湖北            | 787                            |
| 江苏            | 762                            |
| 新疆            | 669                            |
| 上海            | 382                            |
| 成都            | 179                            |
| 邯郸            | 154                            |
| 西藏            | 10                             |
| 内蒙            | 0                              |


| taskId        | 21579                          |
|---------------|--------------------------------|
| taskName      | 卡卡-1.3.xlsx                    |
| areaSumCount  | 5986                           |
| Area          | Count                          |
|---------------|--------------------------------|
| 江苏            | 1199                           |
| 湖北            | 1112                           |
| 河南            | 910                            |
| 辽宁            | 682                            |
| 湖南            | 612                            |
| 上海            | 475                            |
| 成都            | 445                            |
| 北京            | 440                            |
| 邯郸            | 111                            |
| 西藏            | 0                              |
| 新疆            | 0                              |
| 内蒙            | 0                              |


| taskId        | 21578                          |
|---------------|--------------------------------|
| taskName      | 卡卡-1.1.xlsx                    |
| areaSumCount  | 5911                           |
| Area          | Count                          |
|---------------|--------------------------------|
| 湖南            | 1215                           |
| 江苏            | 1204                           |
| 湖北            | 814                            |
| 上海            | 748                            |
| 河南            | 695                            |
| 成都            | 456                            |
| 辽宁            | 317                            |
| 北京            | 308                            |
| 邯郸            | 154                            |
| 西藏            | 0                              |
| 新疆            | 0                              |
| 内蒙            | 0                              |


| taskId        | 21577                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.11 M10 1.3 20w.xlsx       |
| areaSumCount  | 60185                          |
| Area          | Count                          |
|---------------|--------------------------------|
| 江苏            | 12521                          |
| 湖北            | 10805                          |
| 河南            | 9356                           |
| 辽宁            | 6813                           |
| 湖南            | 5961                           |
| 上海            | 4665                           |
| 成都            | 4519                           |
| 北京            | 4354                           |
| 邯郸            | 1191                           |
| 西藏            | 0                              |
| 新疆            | 0                              |
| 内蒙            | 0                              |


| taskId        | 21576                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.10 M包2-1.2.xlsx           |
| areaSumCount  | 88983                          |
| Area          | Count                          |
|---------------|--------------------------------|
| 辽宁            | 24311                          |
| 江苏            | 20779                          |
| 湖北            | 14452                          |
| 河南            | 12811                          |
| 成都            | 9951                           |
| 湖南            | 3992                           |
| 邯郸            | 2687                           |
| 西藏            | 0                              |
| 上海            | 0                              |
| 新疆            | 0                              |
| 内蒙            | 0                              |
| 北京            | 0                              |


| taskId        | 21575                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.7 sn1.2.xlsx              |
| areaSumCount  | 39882                          |
| Area          | Count                          |
|---------------|--------------------------------|
| 北京            | 7598                           |
| 河南            | 7465                           |
| 辽宁            | 6098                           |
| 湖南            | 4287                           |
| 湖北            | 3826                           |
| 江苏            | 3626                           |
| 新疆            | 3295                           |
| 上海            | 1936                           |
| 成都            | 898                            |
| 邯郸            | 800                            |
| 西藏            | 53                             |
| 内蒙            | 0                              |


| taskId        | 21574                          |
|---------------|--------------------------------|
| taskName      | 卡卡-4.7 MZ10-1.3.xlsx           |
| areaSumCount  | 30017                          |
| Area          | Count                          |
|---------------|--------------------------------|
| 江苏            | 6261                           |
| 湖北            | 5323                           |
| 河南            | 4679                           |
| 辽宁            | 3403                           |
| 湖南            | 3016                           |
| 上海            | 2285                           |
| 成都            | 2244                           |
| 北京            | 2220                           |
| 邯郸            | 586                            |
| 西藏            | 0                              |
| 新疆            | 0                              |
| 内蒙            | 0                              |


| taskId        | 21518                          |
|---------------|--------------------------------|
| taskName      | 卡卡-YS0414-MZ10_100w 健康.txt     |
| areaSumCount  | 150217                         |
| Area          | Count                          |
|---------------|--------------------------------|
| 江苏            | 42375                          |
| 成都            | 33563                          |
| 湖北            | 15386                          |
| 辽宁            | 13843                          |
| 湖南            | 12526                          |
| 河南            | 12196                          |
| 上海            | 10395                          |
| 邯郸            | 8829                           |
| 北京            | 1104                           |
| 西藏            | 0                              |
| 新疆            | 0                              |
| 内蒙            | 0                              |


city_sum: 
江苏: 118256
辽宁: 81758
河南: 76558
湖北: 73869
成都: 63396
湖南: 50499
上海: 33002
北京: 20495
邯郸: 17965
新疆: 5214
西藏: 88
内蒙: 0
